wavelength,nflux
853.1386000000001,16567706870484.357
853.1388,16567699035331.56
853.1389999999999,16567691200182.062
853.1392000000001,16567683365035.89
853.1394,16565972088033.088
853.1396000000001,16564260812644.766
853.1398000000002,16562549538870.941
853.1400000000002,16560838266711.611
853.1402,16560830434804.379
853.1404,16559119165068.44
853.1406,16559111333973.42
853.1408,16557400066660.87
853.141,16557392236378.07
853.1412000000001,16557380400293.42
853.1414000000001,16555669136627.93
853.1416000000002,16555661307163.332
853.1418,16553950045921.23
853.142,16552238786293.607
853.1422000000001,16550527528280.479
853.1423999999998,16548816271881.824
853.1426,16545401588539.166
853.1428,16540283480669.225
853.143,16536868804583.418
853.1432000000001,16531750705581.506
853.1434000000002,16528336036752.555
853.1436,16524921371149.236
853.1437999999999,16521506708771.533
853.1440000000001,16518092049619.463
853.1442,16514677393693.03
853.1443999999999,16512966162300.459
853.1446000000001,16511254932522.36
853.1448,16511247124055.842
853.1450000000001,16511239315592.621
853.1452,16509528089046.748
853.1454,16509520281395.729
853.1456000000001,16507809057273.195
853.1458,16506097834765.146
853.146,16502683199007.89
853.1462,16500971980534.322
853.1464,16497557350422.715
853.1466000000001,16495842145086.797
853.1468000000001,16492427521447.68
853.1470000000002,16490716311457.84
853.1472,16487301693464.365
853.1474000000001,16483887078696.484
853.1475999999999,16480472467154.197
853.1477999999998,16477057858837.502
853.148,16471939847350.596
853.1482000000001,16468525246290.643
853.1484,16463407243671.63
853.1486000000001,16458289245889.33
853.1488000000002,16453171252943.762
853.149,16448053264834.926
853.1492000000001,16441231880000.4
853.1493999999999,16436113902370.564
853.1496,16430995929577.412
853.1497999999999,16425877961620.965
853.1500000000001,16420759998501.25
853.1502,16417345437752.74
853.1504000000001,16412227483500.838
853.1506000000002,16408812930009.012
853.1508,16407101774860.568
853.1510000000001,16403687227014.293
853.1511999999999,16401976075900.264
853.1514,16401968319101.768
853.1516,16401960562306.566
853.1518,16401952805514.639
853.152,16403648439010.422
853.1522000000001,16407043490984.512
853.1524000000002,16410442508310.768
853.1526,16413841522418.062
853.1528000000001,16418943919956.443
853.1529999999999,16425749698509.24
853.1532,16430852085581.873
853.1534,16437657852057.807
853.1536000000001,16442760228664.701
853.1538,16449565983063.781
853.1540000000001,16454668349204.967
853.1542000000002,16461474091527.207
853.1544,16466576447202.7
853.1546000000001,16471678798048.105
853.1547999999999,16475077765469.031
853.155,16480180107459.88
853.1551999999999,16485282444620.678
853.1554,16490384776951.418
853.1556000000002,16495487104452.098
853.1558000000001,16500589427122.734
853.1560000000002,16505691744963.322
853.1562,16510794057973.895
853.1564000000001,16517599738304.37
853.1565999999999,16522702040849.297
853.1568,16527804338564.182
853.157,16531203261715.732
853.1572,16534602181648.38
853.1574,16538001098362.102
853.1576000000001,16541396009980.133
853.1578000000002,16544794919434.516
853.158,16548193825669.986
853.1582000000001,16551592728686.559
853.1583999999999,16554991628484.23
853.1586,16556687162186.219
853.1588,16558382694280.426
853.1590000000001,16560078224766.854
853.1592,16561773753645.477
853.1594000000001,16561765921261.754
853.1596000000002,16561758088881.346
853.1598,16563453614547.732
853.1600000000001,16563445781368.402
853.1601999999999,16563437948192.422
853.1604,16563430115019.736
853.1606,16563422281850.379
853.1608,16565117802700.027
853.1610000000002,16565109968731.742
853.1612000000001,16565102134766.783
853.1614000000002,16565094300805.137
853.1616,16565086466846.812
853.1618000000001,16565078632891.818
853.1619999999999,16561664100575.314
853.1622,16559952919861.18
853.1624,16556538393190.13
853.1626,16551420522978.814
853.1628000000001,16546302657604.113
853.1630000000001,16541180795261.432
853.1632000000002,16534359596861.787
853.1634,16527538404909.822
853.1636000000001,16520717219405.516
853.1637999999999,16513896040348.887
853.164,16507074867739.896
853.1641999999999,16498550361669.262
853.1644000000001,16491729202761.13
853.1646000000001,16484908050300.664
853.1648000000001,16476383566795.15
853.1650000000002,16469562428035.5
853.1652,16462741295723.492
853.1654000000001,16454216834783.045
853.1655999999999,16445692381901.314
853.1658,16437167937078.305
853.166,16426940167654.516
853.1662,16415009076046.633
853.1664000000002,16404781326767.932
853.1666000000001,16392850256916.2
853.1668,16380919198345.3
853.167,16370691479686.953
853.1672000000001,16362167098524.582
853.1673999999999,16353642725420.85
853.1675999999999,16345118360375.795
853.1678,16336594003389.365
853.1680000000001,16328069654461.607
853.1682000000001,16317841989793.955
853.1684000000001,16305907066938.08
853.1686,16293976103115.143
853.1688,16282045150572.957
853.169,16271817529475.832
853.1691999999999,16259886598689.629
853.1694,16249658997737.38
853.1696,16239431406454.805
853.1698000000001,16230907141784.049
853.1700000000001,16224086201308.494
853.1702000000001,16217265267280.45
853.1704000000001,16212147654225.484
853.1706,16208733359726.98
853.1708000000001,16207022381368.348
853.1709999999999,16203608092515.062
853.1712,16203600429493.994
853.1714000000001,16201889455978.29
853.1716,16201881793769.258
853.1718000000002,16201874131563.447
853.1720000000001,16201866469360.91
853.1722,16203562114437.375
853.1724,16203554451435.799
853.1725999999999,16203546788437.45
853.1727999999999,16203539125442.36
853.173,16205234766504.158
853.1732000000001,16208633709206.287
853.1734000000001,16210329346246.938
853.1736000000001,16215431584953.94
853.1738000000001,16220533818831.027
853.174,16225632122454.578
853.1742,16232437644246.646
853.1743999999999,16240946457600.656
853.1745999999999,16249455262902.654
853.1748,16259667356544.51
853.175,16269879440523.32
853.1752000000001,16278388220058.309
853.1754000000001,16288600285516.58
853.1756000000001,16297109048142.059
853.1758,16305617802715.6
853.176,16315829840795.871
853.1761999999999,16324338578459.947
853.1764,16334550598019.72
853.1766,16344762607916.502
853.1768000000001,16354974608150.303
853.177,16365186598721.107
853.1772000000001,16375398579628.955
853.1774000000001,16385610550873.818
853.1776,16394119227341.203
853.1778,16404331180065.66
